name,gender
Liam Neeson,M
Ralph Fiennes,M
Ben Kingsley,M
Elijah Wood,M
Viggo Mortensen,M
Ian Mckellen,M
Henry Fonda,M
Lee J. Cobb,M
Martin Balsam,M
Al Pacino,M
Robert De Niro,M
Robert Duvall,M
Christian Bale,M
Heath Ledger,M
Aaron Eckhart,M
Marlon Brando,M
James Caan,M
Tim Robbins,M
Morgan Freeman,M
Bob Gunton,M
